case,model,feature,coef
megaloc_superpoint-lg,baseline_gap,gap,0.3537846568718525
megaloc_superpoint-lg,baseline_gap,intercept,2.608679528554168
megaloc_superpoint-lg,baseline_num_inliers,num_inliers,3.2022668634966753
megaloc_superpoint-lg,baseline_num_inliers,intercept,4.653517115084228
megaloc_superpoint-lg,proposta_clustered,clustered_score,0.7931187325058743
megaloc_superpoint-lg,proposta_clustered,intercept,2.8390601586566784
megaloc_superpoint-lg,completo,clustered_score,1.2072486752486753
megaloc_superpoint-lg,completo,relative_gap,0.5591277561000737
megaloc_superpoint-lg,completo,d1,-0.8517403429283483
megaloc_superpoint-lg,completo,num_inliers,0.25234408876511655
megaloc_superpoint-lg,completo,intercept,4.282736917560147
megaloc_superglue,baseline_gap,gap,0.3537846568718525
megaloc_superglue,baseline_gap,intercept,2.608679528554168
megaloc_superglue,baseline_num_inliers,num_inliers,0.49968230275983017
megaloc_superglue,baseline_num_inliers,intercept,2.6458930152922724
megaloc_superglue,proposta_clustered,clustered_score,0.6794325711569915
megaloc_superglue,proposta_clustered,intercept,2.7560323773944266
megaloc_superglue,completo,clustered_score,0.9632129510077976
megaloc_superglue,completo,relative_gap,0.597340796003769
megaloc_superglue,completo,d1,-1.0532224912719128
megaloc_superglue,completo,num_inliers,0.2868177342868911
megaloc_superglue,completo,intercept,4.105034018811376
netvlad_superpoint-lg,baseline_gap,gap,0.9259242707450139
netvlad_superpoint-lg,baseline_gap,intercept,-1.7952662170194558
netvlad_superpoint-lg,baseline_num_inliers,num_inliers,1.3843064966423448
netvlad_superpoint-lg,baseline_num_inliers,intercept,-1.9604557427234406
netvlad_superpoint-lg,proposta_clustered,clustered_score,1.4152979384864721
netvlad_superpoint-lg,proposta_clustered,intercept,-2.1428050737092312
netvlad_superpoint-lg,completo,clustered_score,1.6725943419344398
netvlad_superpoint-lg,completo,relative_gap,0.24234725785596065
netvlad_superpoint-lg,completo,d1,-0.10222668678136203
netvlad_superpoint-lg,completo,num_inliers,1.504446474427202
netvlad_superpoint-lg,completo,intercept,-2.783059754156473
netvlad_superglue,baseline_gap,gap,0.9259242707450139
netvlad_superglue,baseline_gap,intercept,-1.7952662170194558
netvlad_superglue,baseline_num_inliers,num_inliers,1.3576684304235442
netvlad_superglue,baseline_num_inliers,intercept,-1.8926558389280976
netvlad_superglue,proposta_clustered,clustered_score,1.3816638376059411
netvlad_superglue,proposta_clustered,intercept,-2.1145852898213997
netvlad_superglue,completo,clustered_score,0.9695419493134928
netvlad_superglue,completo,relative_gap,0.6081183117891131
netvlad_superglue,completo,d1,0.18979521679086928
netvlad_superglue,completo,num_inliers,4.553894719670006
netvlad_superglue,completo,intercept,-2.458374473477475
