query_id,d1,d2,gap,relative_gap,num_inliers,num_matches,inlier_ratio,clustered_score,top1_correct
000,1.786820411682129,1.7986423969268799,0.011821985244750977,0.006616213452375805,6,17,0.35294117647058826,2.0,0
001,1.8137515783309937,1.841123104095459,0.027371525764465332,0.015091110652348813,5,11,0.45454545454545453,0.0,0
002,1.8124358654022217,1.817188024520874,0.004752159118652344,0.002621973670553981,104,187,0.5561497326203209,12.0,1
003,1.849141001701355,1.8507317304611206,0.001590728759765625,0.0008602528191749734,8,14,0.5714285714285714,2.8284271247461903,0
004,1.8284492492675781,1.8336056470870972,0.005156397819519043,0.002820093487191149,6,15,0.4,2.0,0
005,1.747553825378418,1.8122073411941528,0.06465351581573486,0.03699658052119493,58,140,0.4142857142857143,7.280109889280518,1
006,1.834328293800354,1.848936915397644,0.014608621597290039,0.007964016935607506,4,5,0.8,0.0,0
007,1.8495913743972778,1.853840947151184,0.00424957275390625,0.0022975738385950513,5,20,0.25,0.0,0
008,1.8389590978622437,1.8405410051345825,0.0015819072723388672,0.0008602188456381686,8,36,0.2222222222222222,0.0,0
009,1.816569209098816,1.8205780982971191,0.004008889198303223,0.0022068463883586345,6,47,0.1276595744680851,0.0,0
010,1.8530685901641846,1.8582054376602173,0.005136847496032715,0.002772076286489526,6,22,0.2727272727272727,0.0,0
011,1.810549259185791,1.8241688013076782,0.013619542121887207,0.0075223261962018935,6,19,0.3157894736842105,0.0,0
012,1.7904404401779175,1.7929078340530396,0.0024673938751220703,0.001378093244406881,7,37,0.1891891891891892,0.0,0
013,1.826980471611023,1.82761812210083,0.0006376504898071289,0.00034901877700140477,5,9,0.5555555555555556,0.0,0
014,1.7371549606323242,1.771741509437561,0.034586548805236816,0.019909881149950674,7,22,0.3181818181818182,0.0,0
015,1.8434860706329346,1.8440935611724854,0.0006074905395507812,0.0003295335664468612,5,21,0.23809523809523808,0.0,0
016,1.787416934967041,1.8024914264678955,0.015074491500854492,0.008433673870910515,16,75,0.21333333333333335,3.3166247903554,0
017,1.8347562551498413,1.8356410264968872,0.0008847713470458984,0.00048222827667844124,6,16,0.375,0.0,0
018,1.7712061405181885,1.7736562490463257,0.002450108528137207,0.001383299477168929,39,142,0.2746478873239437,8.831034898540253,1
019,1.8212926387786865,1.8215413093566895,0.0002486705780029297,0.00013653521279791806,4,7,0.5714285714285714,0.0,0
020,1.715936541557312,1.7922724485397339,0.07633590698242188,0.0444864394071022,32,164,0.1951219512195122,7.936237570137334,1
021,1.8233228921890259,1.8234717845916748,0.00014889240264892578,8.165992062446498e-05,0,5,0.0,0.0,0
022,1.774120569229126,1.7746258974075317,0.0005053281784057617,0.00028483305315902635,5,21,0.23809523809523808,0.0,0
023,1.7802884578704834,1.7934106588363647,0.013122200965881348,0.007370828535044062,7,30,0.23333333333333334,0.0,0
024,1.8044102191925049,1.8336361646652222,0.029225945472717285,0.0161969518692907,8,40,0.2,0.0,0
025,1.8085473775863647,1.81331205368042,0.004764676094055176,0.0026345320853103527,8,77,0.1038961038961039,2.0,0
026,1.8356105089187622,1.8477379083633423,0.012127399444580078,0.00660673894906144,5,19,0.2631578947368421,0.0,0
027,1.8251419067382812,1.8409349918365479,0.0157930850982666,0.008653072421360644,7,19,0.3684210526315789,0.0,0
028,1.7593013048171997,1.782501220703125,0.023199915885925293,0.013187005444946158,24,126,0.19047619047619047,4.898979485566356,1
029,1.8265103101730347,1.8273699283599854,0.0008596181869506836,0.000470634182661278,7,30,0.23333333333333334,2.0,0
030,1.7944986820220947,1.7990586757659912,0.004559993743896484,0.0025410961788827546,19,105,0.18095238095238095,4.242640687119285,1
031,1.827443242073059,1.8390278816223145,0.011584639549255371,0.006339260931635671,0,4,0.0,0.0,0
032,1.831661343574524,1.857316017150879,0.02565467357635498,0.014006231919645893,7,29,0.2413793103448276,0.0,0
033,1.8029072284698486,1.8078910112380981,0.004983782768249512,0.0027643035035581475,5,18,0.2777777777777778,0.0,0
034,1.8245410919189453,1.8254374265670776,0.0008963346481323242,0.0004912658049206291,6,15,0.4,0.0,0
035,1.844761610031128,1.8480032682418823,0.0032416582107543945,0.0017572233686604611,11,60,0.18333333333333332,2.0,0
036,1.7835607528686523,1.809904932975769,0.0263441801071167,0.014770553828763676,3,3,1.0,0.0,0
037,1.807740330696106,1.8134608268737793,0.00572049617767334,0.003164445734012335,7,28,0.25,0.0,0
038,1.8082292079925537,1.819575309753418,0.011346101760864258,0.0062747032902208165,10,60,0.16666666666666666,2.0,0
039,1.766334056854248,1.7699949741363525,0.003660917282104492,0.002072607538703297,7,62,0.11290322580645161,0.0,0
040,1.8148566484451294,1.820176601409912,0.005319952964782715,0.0029313350833194245,7,43,0.16279069767441862,0.0,0
041,1.7547438144683838,1.7565208673477173,0.001777052879333496,0.0010127135737314857,22,93,0.23655913978494625,6.324555320336759,0
042,1.7900145053863525,1.8138936758041382,0.023879170417785645,0.013340210565853276,6,22,0.2727272727272727,2.0,0
043,1.8091912269592285,1.8130425214767456,0.00385129451751709,0.0021287382229849172,6,21,0.2857142857142857,0.0,0
044,1.7542976140975952,1.7592264413833618,0.0049288272857666016,0.0028095730428852996,10,88,0.11363636363636363,2.23606797749979,0
045,1.8161412477493286,1.8244636058807373,0.008322358131408691,0.004582439907535968,6,15,0.4,0.0,0
046,1.779060959815979,1.8060147762298584,0.026953816413879395,0.015150586192767346,4,7,0.5714285714285714,0.0,0
047,1.8038073778152466,1.8074016571044922,0.0035942792892456055,0.001992607045215083,6,32,0.1875,0.0,0
048,1.7877446413040161,1.8056198358535767,0.017875194549560547,0.00999874038862845,9,89,0.10112359550561797,2.449489742783178,0
049,1.8115696907043457,1.821402907371521,0.009833216667175293,0.00542800904521211,8,44,0.18181818181818182,0.0,0
050,1.8039729595184326,1.8197178840637207,0.015744924545288086,0.008727916048969584,9,36,0.25,0.0,0
051,1.773647427558899,1.7773406505584717,0.003693222999572754,0.002082275734279275,22,122,0.18032786885245902,5.82842712474619,0
052,1.799264907836914,1.815166711807251,0.015901803970336914,0.008837944819061774,7,33,0.21212121212121213,0.0,0
053,1.6934762001037598,1.7361680269241333,0.042691826820373535,0.025209581816241524,48,165,0.2909090909090909,6.855654600401044,1
054,1.8083823919296265,1.8180783987045288,0.009696006774902344,0.005361701605906626,5,32,0.15625,0.0,0
055,1.7997112274169922,1.8024568557739258,0.0027456283569335938,0.0015255938370036257,11,105,0.10476190476190476,0.0,0
056,1.809770107269287,1.8167345523834229,0.006964445114135742,0.003848248507455018,4,19,0.21052631578947367,0.0,0
057,1.7283097505569458,1.755127191543579,0.0268174409866333,0.01551657101858704,14,122,0.11475409836065574,4.8818192885643805,0
058,1.8044899702072144,1.811726689338684,0.0072367191314697266,0.004010395874153135,28,99,0.2828282828282828,4.898979485566356,1
059,1.6054892539978027,1.6540484428405762,0.04855918884277344,0.030245726479860884,53,158,0.33544303797468356,7.280109889280518,1
060,1.8099600076675415,1.8114984035491943,0.001538395881652832,0.0008499612561248419,4,8,0.5,0.0,0
061,1.8171007633209229,1.8181495666503906,0.0010488033294677734,0.0005771850139730207,5,18,0.2777777777777778,0.0,0
062,1.6806385517120361,1.6829725503921509,0.002333998680114746,0.0013887570755396178,23,127,0.18110236220472442,4.358898943540674,1
063,1.7364444732666016,1.73655104637146,0.00010657310485839844,6.137432350941403e-05,48,147,0.32653061224489793,6.782329983125268,1
064,1.7716304063796997,1.7964807748794556,0.02485036849975586,0.014026835625686294,5,21,0.23809523809523808,0.0,0
065,1.6916227340698242,1.7422987222671509,0.05067598819732666,0.02995702716492041,30,129,0.23255813953488372,6.898979485566356,1
066,1.8232109546661377,1.8394101858139038,0.016199231147766113,0.0088850009958022,9,34,0.2647058823529412,0.0,0
067,1.819307565689087,1.8207504749298096,0.0014429092407226562,0.0007931090201211444,12,54,0.2222222222222222,3.3166247903554,1
068,1.773816704750061,1.782881259918213,0.009064555168151855,0.005110198333276545,31,148,0.20945945945945946,5.0,1
069,1.8103116750717163,1.8147079944610596,0.004396319389343262,0.0024284875637059014,4,5,0.8,2.0,0
070,1.7363600730895996,1.7733515501022339,0.03699147701263428,0.02130403571582554,45,158,0.2848101265822785,6.557438524302,1
071,1.8400912284851074,1.843429684638977,0.003338456153869629,0.0018142883908087975,5,20,0.25,0.0,0
072,1.7614235877990723,1.7622603178024292,0.0008367300033569336,0.00047503054299530615,6,30,0.2,2.0,0
073,1.8223127126693726,1.8245937824249268,0.0022810697555541992,0.0012517444123038724,7,50,0.14,2.23606797749979,0
074,1.776743769645691,1.7804512977600098,0.0037075281143188477,0.002086698249719026,38,164,0.23170731707317074,8.345119301206996,1
075,1.8304725885391235,1.8388715982437134,0.008399009704589844,0.004588437847787158,4,8,0.5,0.0,0
076,1.861153483390808,1.8680157661437988,0.006862282752990723,0.003687112757884122,6,28,0.21428571428571427,2.449489742783178,0
077,1.7915453910827637,1.7967473268508911,0.005201935768127441,0.0029036025511938192,10,46,0.21739130434782608,2.8284271247461903,0
078,1.867606520652771,1.8683961629867554,0.000789642333984375,0.0004228097970595953,6,22,0.2727272727272727,0.0,0
079,1.780592918395996,1.7905062437057495,0.009913325309753418,0.005567429369922237,19,91,0.2087912087912088,4.0,1
080,1.8485153913497925,1.8485881090164185,7.271766662597656e-05,3.93384155556735e-05,4,10,0.4,0.0,0
081,1.7992937564849854,1.82550847530365,0.02621471881866455,0.014569449109786485,11,82,0.13414634146341464,0.0,0
082,1.8330109119415283,1.8552278280258179,0.02221691608428955,0.012120449441709737,4,10,0.4,0.0,0
083,1.8120654821395874,1.8178126811981201,0.005747199058532715,0.0031716287933186266,13,43,0.3023255813953488,2.0,0
084,1.8044192790985107,1.8340215682983398,0.0296022891998291,0.016405438327292993,8,50,0.16,2.23606797749979,0
085,1.8329020738601685,1.8413207530975342,0.008418679237365723,0.0045930872998772,11,45,0.24444444444444444,0.0,0
086,1.8413662910461426,1.8454128503799438,0.0040465593338012695,0.0021975852134787817,6,25,0.24,0.0,0
087,1.8109554052352905,1.8160450458526611,0.0050896406173706055,0.0028104726392803293,4,6,0.6666666666666666,0.0,0
088,1.8054670095443726,1.8124489784240723,0.006981968879699707,0.003867126257522521,19,102,0.18627450980392157,5.977725364273731,1
089,1.801705002784729,1.8135919570922852,0.011886954307556152,0.006597614087313731,11,62,0.1774193548387097,2.0,0
090,1.7921087741851807,1.7937977313995361,0.0016889572143554688,0.0009424412394406071,4,8,0.5,0.0,0
091,1.7998113632202148,1.8009802103042603,0.0011688470840454102,0.0006494275499817459,5,16,0.3125,0.0,0
092,1.7941291332244873,1.798453688621521,0.004324555397033691,0.0024103924945811516,5,11,0.45454545454545453,2.23606797749979,0
093,1.7936224937438965,1.8040986061096191,0.010476112365722656,0.0058407565707182165,45,99,0.45454545454545453,6.708203932499369,1
094,1.7927665710449219,1.7939822673797607,0.0012156963348388672,0.0006781118939150529,7,28,0.25,2.23606797749979,0
095,1.796494960784912,1.8093516826629639,0.012856721878051758,0.0071565588318903426,4,12,0.3333333333333333,0.0,0
096,1.7499959468841553,1.7828694581985474,0.03287351131439209,0.018784907115312433,4,9,0.4444444444444444,0.0,0
097,1.8135632276535034,1.8166756629943848,0.0031124353408813477,0.0017161989686504632,7,57,0.12280701754385964,0.0,0
098,1.8064807653427124,1.8148763179779053,0.008395552635192871,0.004647463065348569,7,36,0.19444444444444445,0.0,0
099,1.8376280069351196,1.8396735191345215,0.0020455121994018555,0.0011131263736089082,7,40,0.175,0.0,0
100,1.7791582345962524,1.788771390914917,0.00961315631866455,0.005403204803110771,7,22,0.3181818181818182,0.0,0
101,1.8290817737579346,1.8360873460769653,0.007005572319030762,0.00383010339917033,8,62,0.12903225806451613,0.0,0
102,1.7991385459899902,1.8149783611297607,0.015839815139770508,0.008804110820189517,9,47,0.19148936170212766,2.0,0
103,1.815468430519104,1.818386435508728,0.0029180049896240234,0.0016073014218097237,9,47,0.19148936170212766,2.449489742783178,0
104,1.7582917213439941,1.8115596771240234,0.0532679557800293,0.030295288963376684,8,46,0.17391304347826086,2.23606797749979,0
105,1.801216721534729,1.809687852859497,0.008471131324768066,0.004703005042919115,11,69,0.15942028985507245,2.0,0
106,1.8159515857696533,1.8294477462768555,0.013496160507202148,0.00743200458259028,8,43,0.18604651162790697,0.0,0
107,1.816328763961792,1.8218897581100464,0.0055609941482543945,0.0030616671709392004,5,11,0.45454545454545453,0.0,0
108,1.7777538299560547,1.7879080772399902,0.010154247283935547,0.005711841039423639,8,53,0.1509433962264151,0.0,0
109,1.8204281330108643,1.8221430778503418,0.001714944839477539,0.000942055777088622,5,17,0.29411764705882354,0.0,0
110,1.7859410047531128,1.7997125387191772,0.013771533966064453,0.007711080001754156,9,37,0.24324324324324326,2.23606797749979,0
111,1.8034332990646362,1.8103431463241577,0.006909847259521484,0.003831495882384631,7,43,0.16279069767441862,2.0,0
112,1.782790184020996,1.7957279682159424,0.012937784194946289,0.007257042534172893,6,26,0.23076923076923078,2.0,0
113,1.8257288932800293,1.8363323211669922,0.01060342788696289,0.005807777883118895,4,7,0.5714285714285714,0.0,0
114,1.7622181177139282,1.7791097164154053,0.01689159870147705,0.00958541881489109,52,82,0.6341463414634146,7.14142842854285,1
115,1.7601109743118286,1.7922396659851074,0.03212869167327881,0.01825378748396279,17,52,0.3269230769230769,4.123105625617661,1
116,1.6998913288116455,1.7755537033081055,0.07566237449645996,0.04451012439092431,17,71,0.23943661971830985,4.123105625617661,1
117,1.7711094617843628,1.7782865762710571,0.007177114486694336,0.004052326884112241,4,8,0.5,0.0,0
